id;username;password;chips
1;input Square Maryland;vortals Gorgeous indigo;83351
2;empower Small;Bedfordshire;6914
3;e-markets Synergistic Managed;Uganda Shilling;37791
4;B2C Rustic deposit;interfaces Personal Loan Account;93723
5;Principal content-based;indexing;62187
6;architecture withdrawal Libyan Dinar;program;83948
7;Cambridgeshire Digitized Buckinghamshire;Belarus CSS Wooden;55877
8;matrix leverage;integrated Steel;15047
9;Kina payment bluetooth;Cheese;22581
10;leading-edge Latvian Lats;Outdoors facilitate Rustic;63965
